watershed_group_code,crossing_feature_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
THOM,"ROAD, DEMOGRAPHIC",0.00,0.00,0.41,0.41,0.00,0.00,0.01,0.11,0.41,0.41,0.41
THOM,"ROAD, RESOURCE/OTHER",0.42,5.06,7.32,7.86,0.00,0.00,5.64,7.16,8.01,9.96,9.96
TOAD,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOAD,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOBA,DAM,0.10,0.10,0.72,1.06,0.00,0.03,0.00,0.37,0.72,1.12,1.12
TOBA,"ROAD, DEMOGRAPHIC",0.85,0.90,0.90,0.90,0.00,0.00,0.33,0.33,0.90,0.90,0.90
TOBA,"ROAD, RESOURCE/OTHER",14.81,17.93,23.06,28.75,0.53,0.00,20.87,36.02,26.44,44.73,47.71
TOOD,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOOD,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSAY,"ROAD, DEMOGRAPHIC",0.00,0.36,0.00,0.36,0.00,0.00,0.00,0.43,0.00,0.43,0.43
TSAY,"ROAD, RESOURCE/OTHER",2.97,4.47,7.04,7.75,0.00,0.00,4.77,12.84,8.41,15.05,15.05
TSEA,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TSIT,DAM,12.85,6.41,15.50,7.57,1.65,57.42,27.17,30.01,29.55,87.59,98.70
TSIT,"ROAD, DEMOGRAPHIC",0.84,3.90,5.70,6.28,0.00,0.00,3.58,9.62,5.70,9.85,9.85
TSIT,"ROAD, RESOURCE/OTHER",18.90,30.49,33.50,39.83,0.00,0.00,41.66,78.88,51.58,84.27,84.27
TURN,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TURN,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TUTR,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TUTR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TUTR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TUYR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TUYR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWAC,DAM,0.00,0.00,0.78,18.89,0.00,0.00,0.00,0.00,0.78,18.89,18.89
TWAC,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWAC,"ROAD, DEMOGRAPHIC",0.18,0.18,1.49,22.87,0.00,0.00,0.00,0.00,1.49,22.87,22.87
TWAC,"ROAD, RESOURCE/OTHER",3.37,3.37,5.13,33.08,0.00,0.00,0.00,0.00,5.13,33.08,33.08
UARL,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UARL,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UARL,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UARL,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
