watershed_feature_id,map
9713718,444.35294118
9714345,391.77192982
9708373,527.94520548
9958677,363.72118959
9704145,371.31818182
9958666,364.8475872
7893798,367.83000831
9705203,432.07847296
9713428,412.31372549
9939938,395.60199402
9939867,658.93006993
9704579,554.0597561
9708194,641.5105514
9708796,513.64076433
9711997,679.0
9960085,716.08823529
9959699,707.38834951
9711013,466.82426778
9712401,434.55789474
9703374,583.4
9702017,474.79120879
9715492,594.57615894
9709048,626.11716621
9715606,548.52808989
9705356,586.23298033
9701689,577.32402235
9703050,654.97808219
9712927,428.23777174
9704491,522.2671875
9701541,521.06405694
8088795,374.56549521
7645465,
9716119,365.79893238
9717952,397.10416667
9958958,404.46428571
9717259,405.40585774
9716343,416.36566643
9718087,497.09401114
9717487,379.47894737
9716148,417.61428571
9703739,435.94308943
7645727,442.0
9710251,393.34126487
9709562,447.29078014
9959829,655.25922422
9710936,538.44075829
9707129,422.73333333
9715713,617.64935065
9715904,681.16374269
9706380,679.28378378
9717694,710.3185654
9960021,710.4375
9711287,702.83791209
9713083,582.11612903
9959530,693.95526316
9706323,489.07637232
7645466,378.0
9714314,367.77686567
9708827,410.06646526
9716265,419.29655172
9708000,428.55228758
9711924,399.5
9710429,569.34594595
9712218,398.91735537
9701487,526.71134942
9702544,416.73652174
9715780,490.33333333
9707571,557.70929577
9713584,599.46450151
7743307,381.09195402
9701907,482.64616142
8024157,385.00934579
9715309,488.55985663
9705370,491.20735294
9707835,568.51146132
9707629,456.5270936
9708821,491.30816078
9715943,455.05311077
9706709,521.3018018
9702067,462.20470588
9705481,526.65234899
9715132,363.95833333
9702238,701.08333333
9706171,403.04011194
9716719,595.8258427
7645744,375.0
9715663,365.9025641
9710432,406.18292683
9704646,398.12262774
9714937,457.59381663
9716873,419.11067853
9706552,444.10661765
9711522,424.24137931
7645743,375.0
9717746,441.2995255
7645623,375.33333333
9700379,474.77918552
9717138,498.24074074
7649551,602.0
7786939,604.11538462
9708113,582.4534413
9708461,593.28985507
9704980,702.19879518
8028865,609.40952381
8029255,684.40307329
9712596,621.35667396
9959201,712.98076923
9711259,659.29906542
9709017,582.72049689
9704734,581.34285714
9713926,578.97603486
7742802,597.50510949
9701239,606.55479452
9717032,587.09365559
9710925,592.51789976
9704315,580.29824561
9716840,633.4489603
9705098,647.25888325
9711687,591.20118343
7781640,601.375
9710873,600.5
9714054,
9959160,588.8915493
7653756,704.95454545
9958711,705.92391304
9712884,585.24
9958812,592.84504792
7645708,595.91304348
9959395,674.60354223
9714613,584.8969697
9711789,622.25261932
9959079,589.93002915
9748850,430.57777778
9793536,437.31420765
8304156,440.28422153
9712143,426.47916667
7649555,433.99029126
