stream_crossing_id,modelled_crossing_id,linear_feature_id,watershed_group_code,reviewer,notes
50249,4601481,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50250,4601480,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50251,4601056,NA,ELKR,NA,NA
50252,4600355,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50253,24706515,NA,ELKR,NA,NA
50254,NA,706839455,ELKR,NA,NA
50255,4606744,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50256,24706516,NA,ELKR,NA,NA
50257,4600122,NA,ELKR,NA,NA
50258,4600123,NA,ELKR,NJO,Matched to closest stream model (Manual Review)
50259,4607146,NA,ELKR,NA,NA
50260,4606166,NA,ELKR,NA,NA
50261,4607458,NA,ELKR,NA,NA
50262,NA,706842975,ELKR,NA,NA
50263,4601915,NA,ELKR,NA,NA
50264,NA,706841862,ELKR,NA,NA
50265,NA,NA,ELKR,NA,NA
50266,4601381,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50267,4600351,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50268,4606793,NA,ELKR,NA,NA
50269,NA,NA,ELKR,NA,NA
50270,4606737,NA,ELKR,NA,NA
50271,24706514,NA,ELKR,NA,NA
50272,NA,NA,ELKR,NJO,Not on a mapped stream
50273,4600365,NA,ELKR,NA,NA
50274,4600363,NA,ELKR,NA,NA
50275,NA,706836561,ELKR,NA,NA
50276,4602457,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50277,4602457,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50278,4601382,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50279,4601383,NA,ELKR,NA,NA
51129,4603110,NA,ELKR,NA,NA
51146,4601867,NA,ELKR,NA,NA
51223,4601733,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
51224,4601720,NA,ELKR,NJO,Matched to closest stream model (Manual Review)
51243,4601543,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
51255,NA,NA,ELKR,NA,NA
57095,6800598,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57096,6800598,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57097,NA,701415699,HORS,NA,NA
57098,6800605,NA,HORS,NA,NA
57099,6800640,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57100,6800641,NA,HORS,NA,NA
57101,6800108,NA,HORS,NA,NA
57102,6800106,NA,HORS,NA,NA
57103,6801557,NA,HORS,NA,NA
57104,6800825,NA,HORS,NA,NA
57105,6801565,NA,HORS,NA,NA
57106,6801531,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57107,6801560,NA,HORS,NA,NA
57108,6800820,NA,HORS,NA,NA
57109,NA,701407027,HORS,NA,NA
57110,6802308,NA,HORS,NA,NA
57111,6802306,NA,HORS,NA,NA
57112,6802305,NA,HORS,NA,NA
57114,6801942,NA,HORS,NA,NA
57115,6801681,NA,HORS,NA,NA
57116,6801383,NA,HORS,NA,NA
57117,6802295,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57118,6802295,NA,HORS,NA,NA
57119,6801589,NA,HORS,NA,NA
57120,6801587,NA,HORS,NA,NA
57121,6801588,NA,HORS,NA,NA
57122,6801090,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57123,6801513,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57124,6802307,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57125,6802309,NA,HORS,NJO,Matched to closest stream model (Manual Review)
57126,6802310,NA,HORS,NA,NA
57127,6802302,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57128,6802303,NA,HORS,NA,NA
57129,6801319,NA,HORS,NA,NA
57130,6802063,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57131,6802062,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57132,6801762,NA,HORS,SN,matched to nearest modelled crossing within 15m (instream)
57133,6801529,NA,HORS,NA,NA
57134,6801614,NA,HORS,NA,NA
57135,6801540,NA,HORS,NA,NA
57136,6801564,NA,HORS,NA,NA
57137,NA,NA,HORS,NA,NA
57138,6801534,NA,HORS,NA,NA
57139,6800963,NA,HORS,NA,NA
